syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
rt_sigprocmask,14,17,454218,26718,17
futex,202,5,513141,102628,5
getrandom,318,1,13081,13081,1
munmap,11,5,100288,20057,5
rt_sigaction,13,1,13055,13055,1
arch_prctl,158,2,151459,75729,2
write,1,8,327535,40941,8
execve,59,2,712803,356401,1
newfstatat,262,6,86865,14477,6
mmap,9,30,922424,30747,30
access,21,1,30808,30808,1
openat,257,5,68659,13731,5
mprotect,10,16,456450,28528,16
rseq,334,1,83170,83170,1
set_tid_address,218,1,11741,11741,1
close,3,5,114072,22814,5
clone3,435,8,123532,15441,8
read,0,4,65062,16265,4
prlimit64,302,1,22963,22963,1
brk,12,3,293429,97809,3
set_robust_list,273,1,11538,11538,1
pread64,17,4,46868,11717,4
