syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
rt_sigprocmask,14,17,319711,18806,17
futex,202,5,168458,33691,5
getrandom,318,1,15483,15483,1
munmap,11,5,124438,24887,5
rt_sigaction,13,1,13541,13541,1
arch_prctl,158,2,103655,51827,2
write,1,8,201091,25136,8
execve,59,2,480357,240178,1
newfstatat,262,6,92852,15475,6
mmap,9,30,1014886,33829,30
access,21,1,90603,90603,1
openat,257,5,72569,14513,5
mprotect,10,16,482706,30169,16
rseq,334,1,79278,79278,1
set_tid_address,218,1,13173,13173,1
close,3,5,120739,24147,5
clone3,435,8,127595,15949,8
read,0,4,54204,13551,4
prlimit64,302,1,26589,26589,1
brk,12,3,144549,48183,3
set_robust_list,273,1,13191,13191,1
pread64,17,4,50324,12581,4
