syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
rt_sigprocmask,14,17,508962,29938,17
futex,202,3,302934,100978,3
getrandom,318,1,15319,15319,1
munmap,11,5,119488,23897,5
rt_sigaction,13,1,13340,13340,1
arch_prctl,158,2,56950,28475,2
write,1,8,431274,53909,8
execve,59,2,653230,326615,1
newfstatat,262,6,104290,17381,6
mmap,9,30,1120683,37356,30
access,21,1,17062,17062,1
openat,257,5,69285,13857,5
mprotect,10,16,528374,33023,16
rseq,334,1,91833,91833,1
set_tid_address,218,1,13291,13291,1
close,3,5,151053,30210,5
clone3,435,8,146084,18260,8
read,0,4,54901,13725,4
prlimit64,302,1,28066,28066,1
brk,12,3,153771,51257,3
set_robust_list,273,1,13194,13194,1
pread64,17,4,52705,13176,4
