syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
getrandom,318,1,12965,12965,1
munmap,11,1,52052,52052,1
arch_prctl,158,2,114851,57425,2
write,1,2,33343,16671,2
execve,59,2,645397,322698,1
newfstatat,262,3,35218,11739,3
mmap,9,8,131811,16476,8
access,21,1,17560,17560,1
openat,257,2,24275,12137,2
mprotect,10,4,80161,20040,4
rseq,334,1,74330,74330,1
set_tid_address,218,1,11484,11484,1
close,3,2,43409,21704,2
read,0,1,11659,11659,1
prlimit64,302,1,23721,23721,1
brk,12,3,183529,61176,3
set_robust_list,273,1,11168,11168,1
pread64,17,4,45669,11417,4
