syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
getrandom,318,1,15146,15146,1
munmap,11,1,57319,57319,1
arch_prctl,158,2,117378,58689,2
write,1,2,36878,18439,2
execve,59,2,610381,305190,1
newfstatat,262,3,44961,14987,3
mmap,9,8,283047,35380,8
access,21,1,125152,125152,1
openat,257,2,32040,16020,2
mprotect,10,4,89286,22321,4
rseq,334,1,77434,77434,1
set_tid_address,218,1,13351,13351,1
close,3,2,56141,28070,2
read,0,1,14590,14590,1
prlimit64,302,1,25923,25923,1
brk,12,3,260834,86944,3
set_robust_list,273,1,12695,12695,1
pread64,17,4,63073,15768,4
