syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
getrandom,318,1,15410,15410,1
munmap,11,1,80182,80182,1
arch_prctl,158,2,141379,70689,2
write,1,2,98703,49351,2
execve,59,2,1143441,571720,1
newfstatat,262,3,42449,14149,3
mmap,9,8,171931,21491,8
access,21,1,18213,18213,1
openat,257,2,27035,13517,2
mprotect,10,4,107391,26847,4
rseq,334,1,137368,137368,1
set_tid_address,218,1,20505,20505,1
close,3,2,55514,27757,2
read,0,1,13437,13437,1
prlimit64,302,1,31499,31499,1
brk,12,3,200017,66672,3
set_robust_list,273,1,20871,20871,1
pread64,17,4,56751,14187,4
