syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
getrandom,318,1,14265,14265,1
munmap,11,1,58487,58487,1
arch_prctl,158,2,52535,26267,2
write,1,2,37267,18633,2
execve,59,2,449748,224874,1
newfstatat,262,3,37438,12479,3
mmap,9,8,126685,15835,8
access,21,1,17765,17765,1
openat,257,2,23845,11922,2
mprotect,10,4,103013,25753,4
rseq,334,1,114968,114968,1
set_tid_address,218,1,11999,11999,1
close,3,2,49162,24581,2
read,0,1,11779,11779,1
prlimit64,302,1,26152,26152,1
brk,12,3,111528,37176,3
set_robust_list,273,1,29303,29303,1
pread64,17,4,47454,11863,4
