syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
rt_sigprocmask,14,17,477973,28116,17
futex,202,2,229830,114915,2
getrandom,318,1,15711,15711,1
munmap,11,5,185345,37069,5
rt_sigaction,13,1,12919,12919,1
arch_prctl,158,2,66825,33412,2
write,1,8,261185,32648,8
execve,59,2,627993,313996,1
newfstatat,262,6,96410,16068,6
mmap,9,30,1037179,34572,30
access,21,1,21760,21760,1
openat,257,5,68887,13777,5
mprotect,10,16,568707,35544,16
rseq,334,1,87848,87848,1
set_tid_address,218,1,12758,12758,1
close,3,5,121083,24216,5
clone3,435,8,164657,20582,8
read,0,4,54134,13533,4
prlimit64,302,1,26611,26611,1
brk,12,3,158185,52728,3
set_robust_list,273,1,12776,12776,1
pread64,17,4,51139,12784,4
