syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
rt_sigprocmask,14,17,362876,21345,17
futex,202,5,172503,34500,5
getrandom,318,1,15071,15071,1
munmap,11,5,126992,25398,5
rt_sigaction,13,1,12928,12928,1
arch_prctl,158,2,53437,26718,2
write,1,8,224229,28028,8
execve,59,2,633887,316943,1
newfstatat,262,6,104505,17417,6
mmap,9,30,1054827,35160,30
access,21,1,47856,47856,1
openat,257,5,106678,21335,5
mprotect,10,16,531475,33217,16
rseq,334,1,88792,88792,1
set_tid_address,218,1,13669,13669,1
close,3,5,163532,32706,5
clone3,435,8,126278,15784,8
read,0,4,80302,20075,4
prlimit64,302,1,27722,27722,1
brk,12,3,152990,50996,3
set_robust_list,273,1,13613,13613,1
pread64,17,4,55152,13788,4
